61、失礼（しつれい）です。 对不起。失礼了。,
62、あしたまた。 明天见。,
63、どこへ。 到哪儿去？,
64、お元気（げんき）ですか。 你身体好吗？,
65、おかげさまで。 托您福，很好！,
66、奥（おく）さんもお元気（げんき）ですか。 夫人身体也好吗？,
67、ちかごろはおかわりありませんか。 最近身体好吗？,
68、あいかわらずです。 身体仍旧很好。,
69、しばらくでした。 好久不见了。,
70、お久（ひさ）しぶりですね。 好久不见了。,

71、またお会（あ）いできて嬉（うれ）しいです。 能再见到你，我很高兴。,
72、どこへお出（で）かけですか。 您到哪儿去？,
73、どこへ行（い）くのですか。 您到哪儿去？,
74、ちょっと学校（がっこう）へ行（い）ってきます。 到学校去去就来。,
75、ちょっとそこまで。 到那儿去。,
76、新宿（しんじゅく）へ行（い）きます。 去新宿。,
77、お先（さき）に。 我先走啦。,
78、さようなら。 再见！,
79、ではまた。 再见！,
80、ごめんください。 屋里有人吗？,
